time_ms,pointer,middle,ring,pinkie,ecg
0,557,606,936,453
9,719,728,939,583
19,726,723,935,582
29,722,727,935,588
39,727,725,934,596
49,724,725,937,590
58,724,729,935,592
68,725,731,933,594
78,722,726,938,590
88,729,724,932,600
97,724,733,929,594
107,727,731,934,601
117,728,725,937,604
127,723,729,936,599
136,726,730,934,603
146,726,728,938,601
156,729,727,934,600
166,725,729,935,598
175,722,729,940,595
185,730,724,936,599
195,728,728,931,607
205,729,731,929,603
215,729,729,931,602
224,729,725,934,602
234,724,727,935,603
244,724,731,926,603
254,729,731,935,609
263,727,733,932,604
273,730,727,937,602
283,724,727,931,606
293,725,730,935,600
302,728,727,937,597
312,728,732,932,604
322,727,726,937,598
332,724,731,930,603
341,728,728,932,607
351,728,731,934,610
361,728,727,938,607
371,726,729,929,606
381,725,732,928,603
390,727,730,933,606
400,726,733,929,609
410,726,727,936,606
420,725,734,927,602
429,728,726,934,606
439,729,723,931,603
449,724,729,937,602
459,727,728,937,600
468,729,731,929,606
478,729,728,930,603
488,724,730,936,599
498,726,728,936,599
508,731,726,934,608
517,725,727,939,601
527,729,735,931,606
537,728,729,936,609
547,726,725,935,608
556,726,731,935,600
566,726,732,939,601
576,729,731,934,613
586,729,727,937,610
595,729,732,934,608
605,729,731,934,608
615,728,733,929,603
625,728,734,933,607
634,729,727,934,606
644,726,729,933,600
654,727,728,930,608
664,728,728,932,608
674,728,727,935,603
683,728,732,933,599
693,724,731,934,604
703,728,734,934,604
713,727,733,929,604
722,729,729,934,607
732,731,726,930,607
742,728,731,934,604
752,730,732,933,606
761,725,728,938,611
771,725,729,938,599
781,728,730,934,601
791,730,729,934,609
800,725,732,938,600
810,727,727,938,599
820,726,728,937,599
830,726,729,941,602
840,728,731,940,601
849,729,737,933,605
859,724,730,938,600
869,725,725,932,610
879,728,728,938,599
888,728,735,934,609
898,726,732,935,602
908,727,730,939,602
918,724,730,937,600
927,723,728,936,600
937,727,730,939,599
947,730,728,933,605
957,729,729,942,597
966,728,727,933,605
996,599,611,933,455
1006,723,731,930,590
1015,727,730,928,592
1025,728,729,933,599
1035,727,734,931,597
1045,724,730,938,595
1054,729,732,931,598
1064,727,734,931,600
1074,725,730,934,604
1084,729,728,934,603
1093,729,725,935,600
1103,728,733,932,606
1113,732,726,933,602
1123,728,733,931,604
1133,723,727,937,601
1142,727,731,931,604
1152,727,727,938,599
1162,726,736,928,595
1172,726,730,940,600
1181,732,728,933,607
1191,730,727,931,608
1201,725,733,935,599
1211,729,729,934,605
1220,723,730,939,601
1230,723,729,940,598
1240,728,731,937,599
1250,724,733,935,599
