time_ms,pointer,middle,ring,ecg
4152,521,485,904,12
4161,524,494,777,9
4171,507,483,417,5
4181,481,467,235,2
4191,449,450,133,2
4201,425,430,67,0
4210,397,408,52,1
4220,364,385,46,2
4230,333,357,45,1
4240,301,333,43,0
4249,271,304,45,0
4259,242,275,50,0
4269,221,249,56,0
4279,199,228,67,4
4288,181,206,86,2
4298,167,187,117,2
4308,157,169,145,2
4318,148,158,169,3
4328,146,146,195,2
4337,148,138,215,4
4347,152,137,234,0
4357,160,134,252,3
4367,169,137,266,5
4376,182,138,273,6
4386,196,147,284,5
4396,212,153,293,4
4406,226,163,296,6
4415,240,173,302,7
4425,251,184,302,3
4435,266,196,306,4
4445,274,199,306,7
4454,283,215,305,4
4464,288,220,305,5
4474,292,229,306,6
4484,294,234,304,3
4494,291,246,304,4
4503,299,245,303,6
4513,310,252,308,6
4523,323,263,313,6
4533,363,282,325,6
4542,426,313,347,8
4552,519,362,378,9
4562,648,427,421,6
4572,804,514,474,9
4581,904,615,539,7
4591,901,731,613,9
4601,907,856,691,9
4611,903,900,771,12
4620,902,900,843,10
4630,902,900,897,14
4640,901,901,897,13
4650,897,900,886,11
4660,902,900,872,12
4669,901,900,866,12
4679,901,901,850,9
4689,902,900,826,11
4699,903,904,790,12
4708,899,901,751,11
4718,900,900,699,12
4728,902,899,645,11
4738,903,898,589,8
4747,902,900,538,9
4757,901,900,488,7
4767,902,901,443,6
4777,901,905,404,8
4786,902,899,365,4
4796,899,898,336,1
4806,902,901,310,3
4816,903,901,287,6
4826,902,863,269,7
4835,902,744,256,4
4845,902,632,245,1
4855,905,533,243,4
4865,796,446,245,3
4874,660,378,256,2
4884,542,328,267,3
4894,450,295,283,3
4904,388,279,301,5
4913,346,275,321,5
4923,330,288,341,7
4933,333,309,362,6
4943,345,331,378,5
4953,364,360,393,3
4962,388,388,404,4
4972,410,412,412,9
4982,427,434,416,7
4992,442,455,416,4
5001,448,465,410,6
5011,444,470,402,7
5021,435,471,389,5
5031,420,472,376,6
5040,400,451,357,6
5050,374,433,340,4
5060,342,416,324,7
5070,312,393,306,4
5079,279,368,285,7
5089,246,344,274,5
5099,214,314,259,4
5109,188,293,249,3
5119,164,268,240,5
9223,904,901,854,13
9233,900,902,823,12
9243,902,898,783,12
9252,903,897,730,12
9262,901,899,674,9
9272,902,900,599,7
9282,901,897,532,10
9291,900,900,466,9
9301,900,899,404,5
9311,903,902,350,5
9321,902,902,299,5
9330,901,899,257,4
9340,900,900,232,1
9350,903,900,189,5
9360,902,901,166,3
9369,901,903,150,3
9379,880,812,139,4
9389,701,667,139,3
9399,544,548,151,2
9409,420,446,167,2
9418,333,376,184,3
9428,278,320,218,3
9438,257,291,248,3
9448,262,284,284,4
9457,292,296,318,5
9467,334,321,353,7
9477,383,358,380,6
9487,431,396,404,4
9496,480,431,419,4
9506,504,466,429,5
9516,521,492,431,11
9526,528,510,428,7
9536,525,519,418,8
9545,505,520,408,5
9555,476,509,386,7
9565,441,485,364,4
9575,399,470,346,5
9584,358,435,322,4
9594,313,403,299,2
9604,267,368,279,2
9614,226,332,257,4
9623,191,298,240,5
9633,156,263,223,5
9643,130,232,210,4
9653,110,203,198,1
9662,89,177,190,3
9672,78,157,189,0
9682,74,140,182,4
9692,73,124,181,2
9702,81,113,184,2
9711,89,113,185,3
9721,102,110,187,5
9731,117,114,198,0
9741,135,119,205,3
9750,154,129,214,3
9760,174,141,221,3
9770,193,152,231,2
9780,213,164,241,4
9789,232,179,250,5
9799,252,190,260,6
9809,267,204,267,3
9819,282,220,273,5
9828,300,233,279,5
9838,305,243,283,5
9848,310,252,287,3
9858,314,261,287,5
9868,317,267,291,3
9877,319,270,291,5
9887,322,275,292,7
9897,333,284,297,2
9907,350,296,305,4
9916,399,321,324,6
9926,468,363,350,6
9936,575,432,393,8
9946,721,518,444,7
9955,893,627,509,7
9965,902,762,585,10
9975,903,899,666,12
9985,902,900,746,9
9994,903,899,827,13
10004,900,900,894,12
10014,902,899,900,12
10024,901,901,885,12
10034,904,901,875,11
10043,901,900,864,10
10053,900,901,849,13
10063,901,901,819,14
10073,903,900,773,12
10082,895,898,721,9
10092,900,899,658,8
10102,900,899,592,10
10112,901,901,521,8
10121,902,901,459,6
10131,902,899,399,4
10141,900,900,344,7
10151,900,901,297,4
10161,903,904,254,4
10170,901,899,220,4
10180,903,900,198,1
10190,902,900,171,3
10220,388,512,387,7
10230,278,424,379,4
10240,192,345,336,6
10249,143,286,287,5
10259,120,251,253,4
10269,128,235,234,4
10279,162,240,227,4
10288,216,256,232,3
10298,268,292,246,5
10308,333,328,262,1
10318,391,371,282,5
10328,442,409,303,7
10337,482,446,324,5
10347,509,472,334,4
10357,518,490,343,4
10367,518,499,348,4
10376,500,498,348,3
10386,477,486,339,7
10396,440,467,336,6
10406,401,441,324,5
10415,356,412,307,4
10425,313,376,297,4
10435,270,342,281,4
10445,224,304,267,5
10454,191,269,252,4
10464,158,233,231,0
10474,128,201,226,1
10484,108,173,216,4
10494,90,151,209,0
10503,81,131,203,4
10513,75,114,197,6
10523,77,106,199,4
10533,85,99,197,0
10542,95,95,199,0
10552,109,97,206,3
10562,124,102,209,3
10572,141,107,219,4
10581,159,115,223,4
10591,181,128,232,3
10601,199,141,241,4
10611,217,154,248,6
10620,236,168,255,2
10630,251,182,260,4
10640,264,195,267,4
10650,274,209,274,4
10660,282,220,277,4
10669,288,228,280,5
10679,291,238,283,4
10689,290,244,285,3
10699,293,245,288,3
10708,294,248,286,3
10718,294,250,285,6
10728,292,249,288,4
10738,301,256,291,3
10747,323,267,299,5
10757,362,292,317,5
10767,430,335,343,6
10777,530,402,382,4
10786,664,490,436,5
10796,829,612,506,9
10806,901,748,576,8
10816,899,899,656,10
10826,901,900,737,11
10835,900,901,816,12
10845,901,897,883,10
10855,902,897,898,12
10865,902,901,885,11
10874,897,899,864,11
10884,901,900,856,12
10894,898,903,834,12
10904,896,900,804,10
10913,901,901,758,11
10923,902,896,704,10
10933,902,902,637,8
10943,902,901,571,10
10953,897,903,508,9
10962,902,900,447,5
10972,900,901,390,7
10982,902,901,341,1
10992,902,900,294,4
11001,898,902,260,4
11011,901,896,225,2
11021,901,900,197,0
11031,758,874,177,3
11040,577,729,163,2
11050,421,594,159,4
11060,292,476,161,3
11070,194,375,170,3
11079,129,295,188,2
11089,103,250,207,4
11099,103,223,232,3
11109,129,217,263,5
11119,174,235,293,7
11128,237,259,318,5
11138,300,304,354,5
11148,364,350,379,4
11158,429,392,403,7
11167,477,435,421,8
11177,515,473,427,5
11187,539,501,435,8
