time_ms,pointer,middle,ring,ecg
0,0,0,45,480
9,0,0,14,644
19,15,0,5,619
29,24,0,3,348
39,39,0,0,779
49,38,0,0,348
58,84,0,0,869
68,167,0,0,875
78,252,0,0,861
88,334,0,0,906
97,407,0,0,245
107,467,0,0,713
117,536,0,4,344
127,496,0,0,499
136,455,0,2,632
146,392,0,2,248
156,359,0,0,725
166,373,76,1,336
175,384,159,0,464
185,350,191,9,550
195,269,168,4,211
205,219,160,8,644
215,145,118,5,193
224,83,74,1,621
234,46,47,0,296
244,46,49,0,400
254,104,100,5,624
263,119,108,5,173
273,139,117,4,700
283,157,126,4,305
293,174,139,5,532
302,201,162,1,512
312,228,193,4,265
322,305,286,4,737
332,411,428,8,235
342,557,619,13,560
351,729,862,61,261
361,902,902,328,163
371,905,906,631,455
381,906,904,912,0
390,908,908,915,422
400,904,904,909,27
410,894,898,901,191
420,908,909,914,280
429,906,908,913,0
439,913,911,915,449
449,910,912,912,15
459,910,911,908,335
468,913,911,915,206
478,906,906,905,90
488,911,910,912,505
498,910,909,904,37
508,913,908,880,473
517,907,909,837,159
527,902,905,764,267
537,905,902,726,479
547,908,907,643,84
556,909,908,567,607
566,905,908,513,182
576,897,895,451,442
586,906,907,401,426
595,722,908,308,176
605,588,910,261,647
615,441,910,200,178
625,339,908,159,568
634,258,914,133,330
644,182,909,95,305
654,148,909,107,647
664,141,910,136,181
674,183,911,196,656
683,235,910,256,285
693,307,908,321,496
703,388,908,390,553
713,442,908,431,234
722,502,909,480,727
732,535,878,504,302
742,561,807,512,583
752,582,751,526,478
761,575,674,508,345
771,569,614,498,777
781,543,542,469,300
791,528,487,445,742
800,525,452,435,434
810,498,396,379,507
820,463,339,331,719
830,410,266,265,327
840,362,195,204,827
849,310,131,147,412
859,235,44,66,673
869,192,0,50,630
879,139,0,36,416
888,109,0,30,853
898,92,0,26,390
908,80,0,21,776
918,75,0,25,568
927,44,0,18,516
937,83,0,23,832
947,106,0,27,427
957,131,0,30,920
967,157,0,31,919
1989,316,274,447,753
1999,335,308,452,312
2008,348,329,411,574
2018,359,335,363,473
2028,337,307,292,273
2038,323,278,244,720
2048,305,241,197,256
2057,282,199,155,653
2067,273,170,137,389
2077,257,135,112,417
2087,260,119,118,705
2096,243,87,99,278
2106,236,66,106,781
2116,247,71,131,420
2126,259,73,149,619
2135,298,125,221,649
2145,373,214,311,336
2155,507,390,461,815
2165,672,585,652,315
2175,880,855,908,593
2184,911,911,917,328
2194,911,911,919,166
2204,912,910,919,501
2214,911,911,917,0
2223,906,909,914,455
2233,908,908,916,103
2243,910,911,914,256
2253,913,906,920,399
2262,912,914,918,33
2272,913,913,920,545
2282,914,913,919,83
2292,910,913,920,386
2301,912,910,916,285
2311,914,914,917,120
2321,914,913,911,566
2331,916,914,918,121
2341,908,909,908,520
2350,911,913,915,252
2360,911,912,912,295
2370,914,914,898,556
2380,912,911,833,139
2390,909,910,784,604
2400,910,908,726,289
2410,911,908,647,338
2420,909,911,583,604
2429,911,910,502,188
2439,907,910,421,692
