time_ms,pointer,middle,ring,ecg
0,397,356,0,0
10,444,390,0,0
19,503,434,0,1
29,571,485,0,0
39,653,552,0,0
49,727,622,0,0
59,808,701,0,0
68,870,774,0,0
78,893,839,0,1
88,895,892,0,0
98,893,896,0,0
107,897,896,0,0
117,894,892,0,0
127,893,893,0,0
137,895,895,0,2
146,898,895,0,0
156,895,894,0,0
166,822,879,0,2
176,757,827,0,0
185,682,766,0,1
195,601,697,0,0
205,539,637,0,1
215,464,567,0,0
225,413,508,0,0
234,354,448,0,0
244,309,396,0,1
254,282,353,0,2
264,246,307,0,2
273,232,284,0,0
283,214,253,0,0
293,213,239,0,0
303,219,232,0,0
312,229,231,0,0
322,257,245,0,0
332,276,259,0,0
342,314,286,0,0
352,345,313,0,0
361,379,342,0,0
371,424,381,0,0
381,447,409,0,0
391,486,447,0,0
401,508,475,0,0
411,520,497,0,0
421,537,519,0,0
431,528,524,0,1
440,533,537,0,0
450,514,533,0,1
460,503,528,0,1
470,487,524,0,0
479,457,503,0,0
489,446,491,0,0
499,410,459,0,0
509,393,444,0,0
518,369,417,0,0
528,350,391,0,1
538,335,376,0,0
548,314,354,0,0
558,313,347,0,1
567,300,333,0,0
577,298,327,0,0
587,297,327,0,0
597,292,319,0,0
606,305,324,0,1
616,297,317,0,0
626,308,324,0,0
636,316,329,0,0
645,312,329,0,0
655,322,336,0,0
665,325,333,0,0
675,335,343,0,2
685,340,341,0,0
694,349,344,0,0
704,361,353,0,1
714,353,350,0,0
724,365,357,0,0
733,363,353,0,1
743,367,357,0,0
753,366,362,0,0
763,358,358,0,0
772,370,366,0,0
782,363,360,0,0
792,369,364,0,1
802,363,357,0,1
811,359,350,0,0
821,370,352,0,0
831,364,345,0,0
841,378,347,0,1
851,380,341,0,0
860,385,341,0,0
870,393,346,0,0
880,384,340,0,0
890,399,350,0,1
899,389,348,0,1
909,398,350,0,1
919,401,353,0,0
929,407,358,0,0
938,434,376,0,1
948,458,391,0,1
958,512,431,0,1
968,569,472,0,1
996,805,674,0,0
1006,896,774,0,0
1016,893,855,0,0
1025,893,893,0,0
1035,894,891,0,0
1045,892,895,0,0
1055,894,897,0,0
1064,897,893,0,0
1074,894,895,0,1
1084,899,896,0,0
1094,889,895,0,2
1103,899,897,0,0
1113,897,894,0,0
1123,898,894,0,0
1133,897,892,0,0
1143,892,894,0,1
1152,898,896,0,0
1162,895,857,0,0
1172,819,772,0,1
1182,717,679,0,0
1191,634,603,0,0
1201,546,520,0,0
1211,468,450,0,0
1221,410,395,0,0
1230,348,338,0,0
1240,319,305,0,0
1250,284,272,0,1
1260,279,258,0,0
1269,282,254,0,0
1279,293,254,0,0
1289,320,271,0,0
1299,334,281,0,0
1309,371,308,0,0
1318,400,332,0,0
1328,431,360,0,0
1338,476,399,0,0
1348,507,428,0,1
1357,547,468,0,0
1367,570,491,0,1
1377,592,515,0,0
1387,608,535,0,0
1396,603,541,0,0
1406,612,553,0,0
1416,592,541,0,0
1426,582,536,0,0
1435,561,515,0,0
1445,534,493,0,0
1455,519,476,0,1
1465,485,439,0,0
1475,463,422,0,0
1484,450,388,0,0
1494,429,360,0,0
1504,414,338,0,0
1514,381,312,0,0
1523,366,300,0,0
1533,333,277,0,1
1543,309,268,0,0
1553,284,260,0,0
1562,252,255,0,0
1572,240,263,0,1
1582,214,256,0,0
1592,209,268,0,0
1602,189,271,0,0
1611,182,272,0,0
1621,190,276,0,0
1631,183,267,0,0
1641,200,276,0,0
1650,200,267,0,0
1660,219,270,0,0
1670,237,267,0,0
1680,244,259,0,0
1689,268,259,0,0
1699,275,246,0,0
1709,298,236,0,0
1719,312,211,0,0
1728,319,179,0,0
1738,333,145,0,0
1748,330,92,0,0
1758,341,50,0,1
1768,334,0,0,0
1777,330,0,0,2
1787,329,0,0,0
1797,316,0,0,0
1807,319,0,0,0
1816,300,0,0,1
1826,296,0,0,0
1836,292,0,0,0
1846,284,0,0,1
1855,284,0,0,0
1865,269,0,0,0
1875,282,0,0,0
1885,280,20,0,0
1894,300,65,0,0
1904,329,121,0,0
1914,369,170,0,0
1924,432,240,0,0
1934,498,307,0,0
1943,580,393,0,0
1953,673,480,0,0
1963,758,576,0,1
