time_ms,pointer,middle,ring,pinkie
0,624,631,949,11
19,693,683,961,9
39,740,730,962,10
58,768,761,955,12
78,777,776,959,12
97,771,773,955,14
117,756,767,960,12
137,753,764,961,11
156,740,749,959,11
176,724,726,958,10
195,722,725,954,11
215,728,729,952,11
234,729,730,956,13
254,729,721,959,10
273,728,722,963,11
293,733,728,953,11
312,730,725,954,10
332,734,728,963,12
351,731,725,957,10
371,732,726,959,11
390,728,727,962,10
410,726,736,955,11
430,727,737,960,10
449,726,732,956,12
469,728,731,960,12
488,730,726,960,11
508,725,727,958,11
527,727,732,958,13
547,726,728,963,10
566,727,729,960,11
586,730,732,963,10
605,730,732,961,9
625,728,729,962,11
644,732,735,956,12
664,728,725,954,12
683,732,728,956,12
703,727,731,954,12
722,726,731,951,12
742,730,735,963,10
762,726,730,958,11
781,728,736,959,11
801,728,737,955,12
820,728,731,960,11
840,723,728,952,11
859,726,732,965,12
879,719,729,953,11
898,727,734,952,10
918,728,733,953,11
937,729,724,954,11
957,731,731,960,12
992,668,671,954,11
1012,700,702,957,10
1031,721,719,962,10
1051,740,732,957,12
1070,745,739,952,9
1090,747,734,953,9
1109,739,739,960,10
1129,740,735,962,12
1148,736,735,959,10
1168,739,734,953,12
1187,737,731,955,7
1207,729,725,958,10
1226,729,724,953,10
1246,737,722,958,11
1265,726,716,961,10
1285,731,719,956,11
1305,729,716,960,12
1324,732,723,954,11
1344,727,722,962,11
1363,728,728,954,13
1383,727,731,957,12
1402,728,733,957,14
1422,729,732,958,9
1441,725,725,955,11
1461,722,722,957,10
1480,724,712,956,11
1500,728,699,958,11
1519,726,688,953,10
1539,731,683,956,11
1558,732,681,956,11
1578,727,684,952,10
1597,729,691,962,11
1617,723,694,956,12
1637,730,711,963,13
1656,721,714,959,11
1676,726,721,958,12
1695,732,728,964,11
1715,733,732,964,9
1734,732,738,959,11
1754,731,734,955,12
1773,730,735,953,11
1793,724,719,963,10
1812,724,723,955,13
1832,726,726,963,11
1851,725,648,962,10
1871,727,588,956,12
1890,725,562,955,10
1910,728,546,956,13
1930,729,533,952,12
1949,731,527,962,9
1984,669,496,948,11
2004,696,496,955,11
2023,721,500,964,11
2043,740,507,955,11
2062,748,508,959,9
2082,747,511,962,10
2101,740,511,955,12
2121,739,514,960,11
2140,740,510,958,13
2160,736,509,955,11
2180,736,508,963,11
2199,728,505,960,10
2219,729,505,961,12
2238,725,504,955,11
2258,726,502,958,10
2277,727,506,959,11
2297,730,506,958,11
2316,731,505,960,12
2336,731,508,960,11
2355,725,505,956,10
2375,731,503,961,12
2394,726,500,958,11
2414,728,500,954,12
2433,732,502,956,12
2453,728,500,964,10
2472,729,502,953,11
2492,732,502,956,12
2512,730,499,956,12
2531,729,501,955,11
2551,730,499,958,11
2570,729,501,961,10
2590,728,500,952,11
2609,729,500,951,12
2629,726,500,954,10
2648,728,499,964,11
2668,730,498,955,12
2687,729,497,954,10
2707,727,498,953,10
2726,730,498,962,10
2746,728,498,960,10
2765,727,499,965,10
2785,723,497,954,9
2805,723,496,961,10
2824,728,496,959,12
2844,728,497,959,10
2863,727,497,955,11
2883,730,499,955,9
2902,728,500,950,12
2922,729,499,962,10
2941,728,500,954,11
